@relation dataset_mysql_optimizer

@attribute Filename string
@attribute AltAvgLineBlank numeric
@attribute AltAvgLineCode numeric
@attribute AltAvgLineComment numeric
@attribute AltCountLineBlank numeric
@attribute AltCountLineCode numeric
@attribute AltCountLineComment numeric
@attribute AvgCyclomatic numeric
@attribute AvgCyclomaticModified numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgEssential numeric
@attribute AvgLine numeric
@attribute AvgLineBlank numeric
@attribute AvgLineCode numeric
@attribute AvgLineComment numeric
@attribute CountClassBase numeric
@attribute CountClassCoupled numeric
@attribute CountClassDerived numeric
@attribute CountDeclClass numeric
@attribute CountDeclClassMethod numeric
@attribute CountDeclClassVariable numeric
@attribute CountDeclFunction numeric
@attribute CountDeclInstanceMethod numeric
@attribute CountDeclInstanceVariable numeric
@attribute CountDeclInstanceVariablePrivate numeric
@attribute CountDeclInstanceVariableProtected numeric
@attribute CountDeclInstanceVariablePublic numeric
@attribute CountDeclMethod numeric
@attribute CountDeclMethodAll numeric
@attribute CountDeclMethodConst numeric
@attribute CountDeclMethodFriend numeric
@attribute CountDeclMethodPrivate numeric
@attribute CountDeclMethodProtected numeric
@attribute CountDeclMethodPublic numeric
@attribute CountInput numeric
@attribute CountLine numeric
@attribute CountLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineCodeDecl numeric
@attribute CountLineCodeExe numeric
@attribute CountLineComment numeric
@attribute CountLineInactive numeric
@attribute CountLinePreprocessor numeric
@attribute CountOutput numeric
@attribute CountPath numeric
@attribute CountSemicolon numeric
@attribute CountStmt numeric
@attribute CountStmtDecl numeric
@attribute CountStmtEmpty numeric
@attribute CountStmtExe numeric
@attribute Cyclomatic numeric
@attribute CyclomaticModified numeric
@attribute CyclomaticStrict numeric
@attribute Essential numeric
@attribute Knots numeric
@attribute MaxCyclomatic numeric
@attribute MaxCyclomaticModified numeric
@attribute MaxCyclomaticStrict numeric
@attribute MaxEssentialKnots numeric
@attribute MaxInheritanceTree numeric
@attribute MaxNesting numeric
@attribute MinEssentialKnots numeric
@attribute PercentLackOfCohesion numeric
@attribute RatioCommentToCode numeric
@attribute SumCyclomatic numeric
@attribute SumCyclomaticModified numeric
@attribute SumCyclomaticStrict numeric
@attribute SumEssential numeric
@attribute n1 numeric
@attribute n2 numeric
@attribute N1 numeric
@attribute N2 numeric
@attribute Len numeric
@attribute Voc numeric
@attribute Vol numeric
@attribute Dif numeric
@attribute Eff numeric
@attribute AllocOps numeric
@attribute DeallocOps numeric
@attribute DerefUse numeric
@attribute UniqueDerefUse numeric
@attribute DerefSet numeric
@attribute UniqueDerefSet numeric
@attribute AgingRelatedBugs numeric


@data
sql/item_create.h , 0.00 , 1.00 , 0.00 , 23.00 , 39.00 , 105.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 0.00 , 1.00 , 0.00 , 0.00 , 0.00 , 0.00 , 2.00 , 0.00 , 0.00 , 4.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 167.00 , 19.00 , 24.00 , 16.00 , 2.00 , 92.00 , 27.00 , 5.00 , 0.00 , 0.00 , 6.00 , 12.00 , 12.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 1.00 , 1.00 , 1.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 3.83 , 4.00 , 4.00 , 4.00 , 4.00 , 12.00 , 4.00 , 12.00 , 4.00 , 16.00 , 16.00 , 30.00 , 6.00 , 52.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0 
sql/item_func.cc , 1.00 , 16.96 , 2.00 , 770.43 , 4612.46 , 866.71 , 3.96 , 3.00 , 4.00 , 2.00 , 18.96 , 1.00 , 16.96 , 2.00 , 0.00 , 0.00 , 0.00 , 1.00 , 0.00 , 0.00 , 247.25 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 6131.79 , 714.00 , 4142.75 , 692.54 , 2655.54 , 812.43 , 522.14 , 51.71 , 0.00 , 0.00 , 2036.11 , 2904.29 , 613.00 , 2.00 , 2289.29 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 27.64 , 19.86 , 29.64 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.20 , 906.86 , 787.43 , 1056.79 , 517.93 , 3405.04 , 4382.14 , 12060.39 , 8714.29 , 20774.68 , 7787.18 , 111264.71 , 3244.54 , 2439145.32 , 13.36 , 6.54 , 48.00 , 14.00 , 35.00 , 8.00 , 0 
sql/item_func.h , 0.00 , 2.00 , 0.00 , 215.96 , 1348.46 , 178.21 , 1.00 , 1.00 , 1.00 , 1.00 , 2.00 , 0.00 , 2.00 , 0.00 , 0.00 , 0.00 , 0.00 , 84.00 , 0.00 , 0.00 , 296.75 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 1730.14 , 204.96 , 1208.57 , 784.07 , 256.68 , 136.21 , 180.00 , 12.89 , 0.00 , 0.00 , 615.25 , 1005.71 , 710.07 , 0.00 , 295.64 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 2.54 , 2.54 , 6.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.11 , 310.46 , 310.46 , 322.54 , 298.46 , 1780.75 , 1280.46 , 2461.18 , 1662.43 , 4123.61 , 3061.21 , 14524.43 , 958.14 , 70143.43 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0 
sql/item_geofunc.cc , 0.00 , 0.00 , 0.00 , 136.14 , 555.18 , 74.32 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 749.32 , 4.00 , 0.00 , 0.00 , 0.00 , 21.00 , 720.32 , 7.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 1.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0 
sql/item_geofunc.h , 0.00 , 0.00 , 0.00 , 44.25 , 329.61 , 24.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 391.86 , 6.00 , 0.00 , 0.00 , 0.00 , 16.00 , 366.86 , 8.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 1.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0 
sql/item_row.cc , 0.11 , 12.00 , 1.00 , 23.11 , 128.86 , 37.79 , 3.00 , 3.00 , 3.00 , 1.00 , 13.00 , 0.11 , 12.00 , 1.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 11.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 189.75 , 23.11 , 127.86 , 25.43 , 71.43 , 37.79 , 0.00 , 1.00 , 0.00 , 0.00 , 68.43 , 97.43 , 22.00 , 0.00 , 75.43 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 6.00 , 6.00 , 8.36 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.29 , 29.00 , 29.00 , 31.36 , 17.00 , 155.00 , 162.00 , 386.00 , 288.21 , 674.21 , 317.00 , 3380.75 , 134.68 , 54246.39 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0 
sql/item_row.h , 0.00 , 3.00 , 0.00 , 4.00 , 61.86 , 14.00 , 1.00 , 1.00 , 1.00 , 1.00 , 3.00 , 0.00 , 3.00 , 0.00 , 0.00 , 0.00 , 0.00 , 1.00 , 0.00 , 0.00 , 15.43 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 79.86 , 4.00 , 61.86 , 39.86 , 18.43 , 14.00 , 0.00 , 0.00 , 0.00 , 0.00 , 43.43 , 50.86 , 32.43 , 0.00 , 18.43 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 1.00 , 1.00 , 1.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.23 , 15.43 , 15.43 , 15.43 , 15.43 , 93.14 , 61.71 , 136.00 , 75.14 , 211.14 , 154.86 , 721.86 , 47.86 , 2719.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0 
sql/item_strfunc.cc , 2.00 , 25.00 , 3.43 , 420.11 , 2741.00 , 508.00 , 4.00 , 4.00 , 5.00 , 2.00 , 29.29 , 2.00 , 21.50 , 3.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 105.57 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 3545.21 , 389.18 , 2288.50 , 362.18 , 1493.04 , 461.29 , 462.14 , 55.00 , 0.00 , 0.00 , 1177.61 , 1603.93 , 345.61 , 10.57 , 1247.75 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 22.00 , 22.00 , 30.29 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.20 , 441.14 , 436.04 , 553.64 , 309.50 , 1863.07 , 2452.96 , 8755.11 , 6321.54 , 15076.64 , 4316.04 , 87214.04 , 2302.64 , 3505280.96 , 1.96 , 0.00 , 11.00 , 3.50 , 0.00 , 0.00 , 0 
sql/item_strfunc.h , 0.00 , 2.00 , 0.00 , 104.00 , 696.46 , 53.07 , 1.00 , 1.00 , 1.00 , 1.00 , 2.00 , 0.00 , 2.00 , 0.00 , 0.00 , 0.00 , 0.00 , 56.00 , 0.00 , 0.00 , 168.07 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 849.54 , 104.00 , 686.46 , 384.75 , 160.25 , 52.07 , 2.00 , 10.00 , 0.00 , 0.00 , 298.79 , 522.86 , 367.71 , 0.00 , 155.14 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 3.00 , 3.00 , 7.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.08 , 172.07 , 172.07 , 180.07 , 168.07 , 1058.82 , 756.50 , 1494.36 , 1009.57 , 2503.93 , 1815.32 , 9029.96 , 573.39 , 47542.36 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0 
sql/item_subselect.cc , 1.00 , 16.00 , 3.00 , 281.04 , 1670.43 , 690.14 , 4.00 , 4.00 , 5.00 , 2.00 , 19.00 , 1.00 , 16.00 , 3.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 106.29 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 2629.61 , 281.04 , 1665.43 , 314.86 , 1018.93 , 689.14 , 1.00 , 5.00 , 0.00 , 0.00 , 974.82 , 1274.14 , 278.71 , 9.00 , 986.43 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 45.00 , 45.00 , 62.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.41 , 399.11 , 399.11 , 484.54 , 226.50 , 1136.21 , 1589.86 , 4539.79 , 3294.54 , 7834.32 , 2726.07 , 44320.71 , 954.00 , 1347057.82 , 47.29 , 1.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0 
sql/item_subselect.h , 0.00 , 2.00 , 0.00 , 64.00 , 360.86 , 180.00 , 1.00 , 1.00 , 1.00 , 1.00 , 2.00 , 0.00 , 2.00 , 0.00 , 0.00 , 0.00 , 0.00 , 11.00 , 0.00 , 0.00 , 49.57 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 582.86 , 64.00 , 357.86 , 274.86 , 66.57 , 179.00 , 1.00 , 3.00 , 0.00 , 0.00 , 247.43 , 306.00 , 250.86 , 0.00 , 55.14 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 2.00 , 2.00 , 2.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.50 , 52.57 , 52.57 , 52.57 , 49.57 , 273.00 , 193.29 , 353.71 , 226.29 , 580.00 , 466.29 , 1973.43 , 137.71 , 6580.29 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0 
